t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
2.65999,0.302083,-0.0240666,-1.35172,-0.138557,-0.289081,-0.0437543,0.896739,0.0200301
2.67999,0.308841,-0.024048,-1.35172,-0.137736,-0.286622,-0.042872,0.896538,0.00339712
2.69999,0.316094,-0.024048,-1.35177,-0.137228,-0.285232,-0.042295,0.896476,-0.0107551
2.71999,0.323287,-0.0240574,-1.35177,-0.136965,-0.285119,-0.0419683,0.896468,-0.0237507
2.73999,0.330502,-0.0240675,-1.35177,-0.135561,-0.285119,-0.0418383,0.896476,-0.0345151
2.75999,0.336436,-0.0240821,-1.35176,-0.131869,-0.285197,-0.0418383,0.896468,-0.0460263
2.77999,0.341399,-0.024086,-1.35176,-0.125672,-0.285313,-0.041891,0.896499,-0.0570328
2.8,0.344135,-0.024086,-1.35175,-0.114598,-0.285313,-0.041891,0.896495,-0.0679889
2.82,0.345288,-0.0240895,-1.35175,-0.099566,-0.285339,-0.0418743,0.896525,-0.0793176
2.83999,0.345288,-0.0240895,-1.35174,-0.0809854,-0.28557,-0.0417645,0.896525,-0.0908939
2.86001,0.345288,-0.0240895,-1.35174,-0.0617546,-0.285593,-0.0417078,0.896525,-0.102983
2.87999,0.345314,-0.0240857,-1.35173,-0.0423706,-0.285827,-0.041679,0.896523,-0.116109
2.9,0.345322,-0.0241261,-1.35173,-0.0225779,-0.286172,-0.0414855,0.896522,-0.130084
2.91999,0.345322,-0.0241123,-1.35173,-0.00231899,-0.286765,-0.0409201,0.8965,-0.143553
2.93999,0.345388,-0.0241261,-1.35171,0.0164882,-0.287374,-0.0392245,0.8965,-0.155843
2.96,0.345398,-0.0241463,-1.35169,0.0365008,-0.2877,-0.036868,0.896518,-0.16805
2.98,0.345388,-0.0241463,-1.35169,0.0565449,-0.287759,-0.0339178,0.89655,-0.180364
3.00001,0.345334,-0.0241494,-1.35169,0.0762976,-0.287834,-0.0316324,0.896552,-0.192522
3.02,0.345233,-0.0241085,-1.35167,0.0940195,-0.287959,-0.0300203,0.896552,-0.205605
3.03999,0.345233,-0.0241118,-1.35157,0.110954,-0.287969,-0.0289913,0.89656,-0.220275
3.06001,0.345115,-0.0241118,-1.35131,0.129698,-0.288053,-0.0287474,0.896577,-0.235399
3.08001,0.345115,-0.0241186,-1.35069,0.14755,-0.288217,-0.0287474,0.896626,-0.251302
3.1,0.345115,-0.0241186,-1.34963,0.164766,-0.288252,-0.0287474,0.896626,-0.267535
3.12,0.344904,-0.0241186,-1.3467,0.183086,-0.288323,-0.0287186,0.896605,-0.284537
3.14001,0.344904,-0.0241341,-1.34411,0.201445,-0.288684,-0.0284904,0.896605,-0.302245
3.15998,0.344963,-0.0241386,-1.34195,0.218488,-0.289309,-0.0284717,0.896651,-0.319765
3.18004,0.344963,-0.0241386,-1.33853,0.235583,-0.290261,-0.0284717,0.896679,-0.3369
3.20001,0.34497,-0.0241279,-1.33604,0.252113,-0.291509,-0.0285347,0.896732,-0.354749
3.22,0.344935,-0.0241279,-1.33255,0.268907,-0.293084,-0.0285449,0.896732,-0.372014
3.23999,0.344939,-0.0241279,-1.32755,0.285597,-0.295299,-0.0285449,0.896732,-0.388648
3.26,0.344939,-0.0241357,-1.32121,0.301945,-0.298007,-0.028563,0.896714,-0.405009
3.28,0.345123,-0.0241133,-1.31556,0.318542,-0.301384,-0.0285654,0.89676,-0.420059
3.29999,0.345224,-0.0241357,-1.3103,0.335573,-0.306382,-0.0286471,0.896801,-0.432782
3.32,0.345333,-0.0241192,-1.30325,0.353768,-0.312825,-0.0286471,0.896801,-0.442712
3.34,0.345319,-0.0241318,-1.29597,0.371163,-0.320605,-0.0284193,0.896652,-0.449558
3.36,0.345333,-0.0241318,-1.28738,0.386775,-0.329412,-0.0272189,0.896597,-0.452967
3.37999,0.345319,-0.0241318,-1.27841,0.401805,-0.338933,-0.0258011,0.896597,-0.453339
3.4,0.345336,-0.0241209,-1.26905,0.416039,-0.34915,-0.023922,0.896683,-0.453339
3.42,0.345472,-0.024098,-1.26205,0.429386,-0.358689,-0.0219627,0.896683,-0.453339
3.44001,0.345893,-0.0241209,-1.255,0.441593,-0.368843,-0.0207332,0.896684,-0.45353
3.46,0.347172,-0.0241355,-1.24797,0.453422,-0.379716,-0.0199497,0.896711,-0.454512
3.47999,0.34817,-0.0241355,-1.24073,0.465167,-0.389742,-0.0196859,0.896711,-0.454868
3.5,0.348667,-0.0241336,-1.23291,0.477457,-0.400352,-0.0194604,0.896585,-0.454908
3.52,0.350219,-0.0241336,-1.22569,0.489138,-0.409734,-0.0192481,0.89657,-0.455031
3.53999,0.351799,-0.0241385,-1.21889,0.499107,-0.41844,-0.0192472,0.896527,-0.455036
3.56,0.35518,-0.0241385,-1.21432,0.506591,-0.427458,-0.0192012,0.896527,-0.455167
3.58,0.360225,-0.0241245,-1.21204,0.510727,-0.436033,-0.0191494,0.896557,-0.455197
3.6,0.366658,-0.0241211,-1.21204,0.511361,-0.444201,-0.0191494,0.896557,-0.455868
3.62,0.373574,-0.0241211,-1.21218,0.511383,-0.452106,-0.0191494,0.896548,-0.456556
3.64,0.380824,-0.0241229,-1.21226,0.511383,-0.459643,-0.0189753,0.896531,-0.458482
3.66001,0.388149,-0.0241229,-1.21226,0.511353,-0.467917,-0.0186081,0.896531,-0.460325
3.67999,0.39536,-0.0241229,-1.21222,0.511343,-0.474555,-0.0186081,0.896489,-0.464494
3.69999,0.402517,-0.0241319,-1.21222,0.511343,-0.481157,-0.0186297,0.896362,-0.472067
3.71999,0.408974,-0.0241335,-1.21226,0.511356,-0.484958,-0.0186297,0.89592,-0.479503
3.74,0.414649,-0.0241319,-1.21226,0.511356,-0.486005,-0.0174732,0.89592,-0.491688
3.76,0.420132,-0.0241144,-1.21226,0.511356,-0.486005,-0.0170931,0.896067,-0.508175
3.78,0.425008,-0.0241144,-1.21226,0.511379,-0.485425,-0.0170931,0.896067,-0.527015
3.8,0.429476,-0.0240876,-1.21225,0.511379,-0.484724,-0.0171686,0.896039,-0.546917
3.81999,0.434162,-0.0241106,-1.21228,0.511379,-0.483481,-0.0171686,0.896039,-0.567094
3.84,0.439013,-0.0241106,-1.21228,0.511477,-0.483429,-0.0171591,0.896039,-0.587009
3.86,0.444564,-0.0241106,-1.21231,0.512142,-0.483429,-0.0171359,0.896051,-0.606347
3.87999,0.450554,-0.0241088,-1.21232,0.513216,-0.483482,-0.0171359,0.896051,-0.624959
3.89999,0.456997,-0.0241088,-1.21232,0.513748,-0.483506,-0.0171359,0.896051,-0.641835
3.91999,0.463095,-0.0241098,-1.21232,0.514838,-0.483589,-0.0170772,0.896008,-0.657813
3.94001,0.468899,-0.0241178,-1.21229,0.517868,-0.483629,-0.0169874,0.896001,-0.674145
3.96003,0.47393,-0.0241178,-1.21227,0.522644,-0.483653,-0.0168566,0.896008,-0.690117
3.98,0.477657,-0.0241328,-1.21226,0.531064,-0.483653,-0.0167738,0.896017,-0.707257
3.99999,0.479193,-0.0241328,-1.21215,0.544514,-0.483626,-0.0167738,0.896079,-0.724177
4.02,0.479193,-0.0241528,-1.21205,0.561373,-0.483622,-0.016805,0.896103,-0.739723
4.04,0.479061,-0.0241528,-1.21161,0.578161,-0.483622,-0.016845,0.896121,-0.753073
4.06,0.479035,-0.0241381,-1.2109,0.593746,-0.483626,-0.0168457,0.896121,-0.762861
4.08,0.479015,-0.0241381,-1.20785,0.610574,-0.484285,-0.016845,0.896121,-0.770692
4.1,0.478972,-0.0241421,-1.20232,0.627751,-0.485833,-0.0168133,0.896146,-0.778118
4.12,0.478972,-0.0241421,-1.19624,0.643341,-0.487824,-0.0168133,0.89615,-0.784424
4.14,0.479292,-0.024141,-1.19098,0.656301,-0.489184,-0.0168121,0.896162,-0.790901
4.15999,0.47955,-0.024141,-1.1837,0.668338,-0.491371,-0.0168121,0.896236,-0.795929
