t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad
6.10001,0.363834,-0.0502124,-1.04007,-0.00785937
6.12001,0.362784,-0.0501289,-1.03615,-0.00784412
6.14,0.362753,-0.0500449,-1.03229,-0.00782285
6.15998,0.363334,-0.0501493,-1.02833,-0.00787487
6.17999,0.364322,-0.0501918,-1.02629,-0.00774394
6.2,0.365052,-0.0501901,-1.02277,-0.00769575
6.22001,0.366991,-0.0501764,-1.0157,-0.007615
6.24001,0.369455,-0.0501703,-1.0065,-0.00751392
6.26,0.372989,-0.0502858,-0.995487,-0.00750198
6.27999,0.377558,-0.0502453,-0.981789,-0.00741756
6.29999,0.383502,-0.0501365,-0.966399,-0.00740449
6.32,0.389571,-0.0501472,-0.950675,-0.00737614
6.34001,0.396571,-0.0501882,-0.935467,-0.007394
6.36,0.402974,-0.0503761,-0.919534,-0.00734371
6.38,0.409138,-0.052866,-0.900527,-0.00737341
6.4,0.415293,-0.0580643,-0.879594,-0.0072672
6.42,0.421132,-0.0642655,-0.858164,-0.00715293
6.44,0.426136,-0.0714472,-0.836983,-0.00709189
6.46,0.429494,-0.0791105,-0.816999,-0.00707283
6.48001,0.430987,-0.0878625,-0.797968,-0.0070538
6.5,0.431262,-0.0979813,-0.779797,-0.00698362
6.52,0.430561,-0.110232,-0.762563,-0.00726971
6.53999,0.424981,-0.122212,-0.745074,-0.00746685
6.56001,0.415505,-0.132999,-0.728353,-0.0076277
6.58,0.402667,-0.141192,-0.712838,-0.00763077
6.60001,0.387176,-0.146561,-0.697429,-0.00761886
6.62001,0.371222,-0.147822,-0.680646,-0.00759598
6.63999,0.355532,-0.14781,-0.659416,-0.00757774
6.66001,0.339915,-0.147747,-0.635538,-0.00761744
6.67999,0.324556,-0.147704,-0.610809,-0.00758298
6.70001,0.309027,-0.147713,-0.585985,-0.00758208
6.72,0.294367,-0.147703,-0.559159,-0.00757422
6.74,0.28163,-0.147749,-0.527776,-0.00755864
6.76001,0.270085,-0.147755,-0.491885,-0.00754253
6.77999,0.259306,-0.147689,-0.453819,-0.00761508
6.80001,0.248344,-0.147443,-0.415911,-0.00835117
6.82,0.236597,-0.147415,-0.37989,-0.00921905
6.84,0.224243,-0.147454,-0.347023,-0.0109164
6.86001,0.209855,-0.147321,-0.31818,-0.0111993
6.88,0.194699,-0.146723,-0.295937,-0.0111662
6.90001,0.179037,-0.145462,-0.281404,-0.0112235
6.92001,0.162683,-0.145045,-0.273607,-0.0112415
6.94001,0.145311,-0.144998,-0.272757,-0.0112223
6.96,0.128535,-0.144955,-0.27294,-0.0112238
6.98001,0.113182,-0.144361,-0.272989,-0.0112843
7.00001,0.0999962,-0.142865,-0.272912,-0.0112154
7.02001,0.0888437,-0.140925,-0.272987,-0.0111239
7.04001,0.079555,-0.138968,-0.272947,-0.0113165
7.06,0.0715014,-0.135793,-0.272978,-0.0112218
7.08001,0.0657714,-0.13195,-0.272963,-0.0112547
7.1,0.0611328,-0.126727,-0.272997,-0.0113257
7.12001,0.0572923,-0.119752,-0.273043,-0.0114239
7.14,0.0543081,-0.110858,-0.272923,-0.0118093
7.16001,0.0514801,-0.100934,-0.272924,-0.0133678
7.18001,0.0492654,-0.0907516,-0.272868,-0.0180765
7.2,0.0474756,-0.0813283,-0.272849,-0.0237689
7.22001,0.0448538,-0.0741428,-0.27281,-0.0293279
7.24001,0.0407864,-0.0705963,-0.272842,-0.0350927
7.26,0.0363403,-0.0700776,-0.272889,-0.040295
7.28001,0.0315894,-0.0700489,-0.272745,-0.044232
7.30001,0.0258408,-0.0701053,-0.272769,-0.0466272
7.32001,0.0193945,-0.0700811,-0.272847,-0.0468044
7.34001,0.0133988,-0.0700699,-0.272799,-0.0470501
7.36002,0.00721263,-0.070096,-0.272807,-0.047361
7.38001,0.00116779,-0.0700727,-0.272791,-0.0473739
7.40001,-0.00487541,-0.0701293,-0.272749,-0.0475462
7.42,-0.0111844,-0.070036,-0.272754,-0.0475242
7.44001,-0.0166856,-0.0701387,-0.272758,-0.0476052
7.46,-0.0227148,-0.070136,-0.272707,-0.0476732
7.48001,-0.028669,-0.070109,-0.272678,-0.0476082
7.50001,-0.0344097,-0.0701345,-0.27267,-0.047605
7.52,-0.039116,-0.070101,-0.272777,-0.0472444
7.54,-0.0392643,-0.0700861,-0.272647,-0.0475342
7.56001,-0.0389119,-0.0700828,-0.272585,-0.0475841
7.58,-0.0389491,-0.0700696,-0.272616,-0.0475863
7.60001,-0.0389545,-0.0701228,-0.272606,-0.0475447
7.62001,-0.0389299,-0.0701354,-0.272598,-0.0476266
7.64001,-0.038995,-0.0701835,-0.272606,-0.0476315
7.66001,-0.0389552,-0.0701657,-0.272598,-0.0476341
7.68002,-0.0389417,-0.0701091,-0.272632,-0.0475759
7.70001,-0.0388844,-0.0700692,-0.272589,-0.0476138
7.72001,-0.0389764,-0.0701126,-0.27264,-0.0476346
7.74002,-0.0389479,-0.0701235,-0.272676,-0.0475828
7.76,-0.0389365,-0.0701944,-0.272694,-0.0475939
7.78001,-0.0389316,-0.0701088,-0.272745,-0.0475955
7.80001,-0.0389056,-0.0700462,-0.27279,-0.0475887
7.82001,-0.038964,-0.0700694,-0.272831,-0.0476087
7.84001,-0.0384006,-0.0701253,-0.272753,-0.0475385
7.86001,-0.0373234,-0.0700228,-0.272805,-0.0475055
7.88001,-0.0355435,-0.0700829,-0.272798,-0.0475075
7.9,-0.0337898,-0.0700848,-0.272786,-0.04748
7.92001,-0.0330709,-0.0701244,-0.272802,-0.0475191
7.94001,-0.0331961,-0.0700652,-0.272792,-0.0474851
7.96,-0.0333197,-0.0700762,-0.272786,-0.0475398
7.98001,-0.0333163,-0.0700716,-0.272812,-0.0474635
8,-0.0333197,-0.0700829,-0.272742,-0.0475696
8.02001,-0.033289,-0.0701257,-0.272784,-0.0475256
8.04001,-0.033288,-0.0700628,-0.272774,-0.047522
8.06001,-0.0332803,-0.0701059,-0.272793,-0.047533
8.08,-0.0332524,-0.070128,-0.272778,-0.0474693
8.1,-0.0332724,-0.0700819,-0.272781,-0.0475265
8.12001,-0.0332958,-0.070042,-0.272774,-0.0475156
8.14,-0.0332612,-0.0700749,-0.272789,-0.0475288
8.16001,-0.0332784,-0.0701341,-0.272763,-0.0475169
8.18,-0.0332875,-0.0700517,-0.272767,-0.0474558
8.20001,-0.033261,-0.0700404,-0.27278,-0.0475195
8.22,-0.0332542,-0.0701549,-0.272813,-0.0475023
8.24,-0.0332674,-0.0700689,-0.272745,-0.0475577
8.26001,-0.0332711,-0.0700387,-0.272774,-0.0474688
8.28,-0.0333018,-0.070037,-0.272799,-0.0474951
8.30001,-0.0332816,-0.0701406,-0.272811,-0.0474695
8.32,-0.0332597,-0.0700406,-0.272756,-0.0475512
8.34,-0.0332968,-0.0701552,-0.272785,-0.0475101
8.36,-0.0332488,-0.0700657,-0.272792,-0.0475428
8.38,-0.0333047,-0.070072,-0.272763,-0.0474888
8.4,-0.0332914,-0.0700815,-0.272833,-0.0474963
8.42001,-0.0332732,-0.070093,-0.272809,-0.0474958
8.44003,-0.0332443,-0.0700744,-0.272777,-0.0474706
8.46,-0.0332963,-0.0701439,-0.272825,-0.0474832
8.48001,-0.0332993,-0.0700907,-0.272737,-0.0475598
8.5,-0.0332445,-0.0700959,-0.272786,-0.0475279
8.52001,-0.0332697,-0.0699774,-0.272799,-0.0474942
8.54001,-0.0332735,-0.0700942,-0.272776,-0.0475175
8.56,-0.0332987,-0.0701017,-0.272764,-0.0474833
8.58001,-0.0332617,-0.0700994,-0.27282,-0.0475063
8.6,-0.033269,-0.0700326,-0.272746,-0.0475164
8.62,-0.0333039,-0.0701191,-0.272832,-0.0475335
8.64001,-0.0333318,-0.0700427,-0.272787,-0.0474918
8.66,-0.0333421,-0.0700788,-0.272784,-0.0475271
8.68,-0.0332114,-0.0700737,-0.272804,-0.0475196
8.70001,-0.0333063,-0.0700911,-0.27278,-0.0474913
8.72001,-0.033296,-0.0700459,-0.272797,-0.0474952
8.74001,-0.0332864,-0.0700847,-0.272809,-0.0475325
8.76,-0.0332779,-0.070087,-0.2728,-0.0475028
8.78001,-0.0332795,-0.0700153,-0.272826,-0.0474921
8.8,-0.0333339,-0.0700642,-0.272795,-0.0475017
8.82001,-0.033313,-0.070109,-0.272797,-0.0475022
8.84,-0.0333057,-0.0700915,-0.272815,-0.0475105
8.86001,-0.0332785,-0.0701314,-0.272853,-0.0474957
8.88001,-0.0333117,-0.070109,-0.272758,-0.0475212
8.90001,-0.0332927,-0.0700671,-0.272813,-0.0474772
8.92001,-0.0332396,-0.070056,-0.272824,-0.0475411
8.94,-0.0332385,-0.0700728,-0.272804,-0.0475263
8.96,-0.0332475,-0.0701142,-0.272738,-0.0475297
8.98,-0.0332512,-0.0701515,-0.272824,-0.0475197
9,-0.0332936,-0.0700288,-0.272823,-0.0475496
9.02,-0.0332738,-0.0700673,-0.272773,-0.047483
9.04,-0.033267,-0.0701236,-0.272803,-0.0475401
9.06,-0.0332912,-0.0700552,-0.272815,-0.0474472
9.08,-0.0332491,-0.0700825,-0.272807,-0.0474666
9.1,-0.0332435,-0.07009,-0.272758,-0.0475143
9.12,-0.033286,-0.0701661,-0.272834,-0.0475516
9.14001,-0.0332836,-0.0700717,-0.272812,-0.0475073
9.16001,-0.0332164,-0.0701075,-0.272773,-0.0475061
9.18,-0.0332732,-0.0700617,-0.272801,-0.0475494
9.2,-0.0332927,-0.0700718,-0.272829,-0.0475099
9.22002,-0.0332763,-0.070088,-0.272796,-0.0475252
9.24001,-0.0332585,-0.0700858,-0.272763,-0.0475416
9.26003,-0.0332736,-0.0701069,-0.272793,-0.0474653
9.28001,-0.0332979,-0.0700854,-0.272807,-0.047491
9.30003,-0.0332739,-0.0700931,-0.272784,-0.0474873
9.32,-0.0333124,-0.0701019,-0.272756,-0.0474699
9.34001,-0.0333181,-0.0700998,-0.27279,-0.0474825
